ASIN;Title;Auther;Genre
143122967;Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (now with Bébé Day by Day: 100 Keys to French Parenting);Pamela Druckerman;Parenting & Relationships
143124048;How to Create a Mind: The Secret of Human Thought Revealed;Ray Kurzweil;Computers & Technology
143125761;The Childhood of Jesus: A Novel;J. M. Coetzee;Literature & Fiction
143126288;Eliot Ness: The Rise and Fall of an American Hero;Douglas Perry;Biographies & Memoirs
147513200;Dragonbreath #4: Lair of the Bat Monster;Ursula Vernon;Children's Books
147514940;Fantasy League;Mike Lupica;Children's Books
147516625;The Marco Effect: A Department Q Novel;Jussi Adler-Olsen;Mystery, Thriller & Suspense
147517729;The All Souls Trilogy Boxed Set;Deborah Harkness;Mystery, Thriller & Suspense
151001634;Flowers for Algernon;Daniel Keyes;Science Fiction & Fantasy
151003076;The Curious Sofa: A Pornographic Work by Ogdred Weary;Ogdred Weary;Comics & Graphic Novels
151007152;Cautionary Tales for Children;Hilaire Belloc;Comics & Graphic Novels
152046968;Pacific Crossing;Gary Soto;Children's Books
152058761;Young Royals Boxed Set: The Tudor Women;Carolyn Meyer;Teen & Young Adult
152427309;King Bidgood's in the Bathtub;Audrey Wood;Children's Books
153003804;Diary of Anne Frank;Frances Goodrich;History
156027321;Life of Pi;Yann Martel;Mystery, Thriller & Suspense
156028077;A Primer of Chess;Jose R. Capablanca;Teen & Young Adult
156028158;Odd Girl Speaks Out: Girls Write about Bullies, Cliques, Popularity, and Jealousy;Rachel Simmons;Parenting & Relationships
156334607;Free to Choose: A Personal Statement;Milton Friedman;Business & Money
156787334;A Room of One's Own;Virginia Woolf;Literature & Fiction
159007194;Barbri Bar Review - Civil Procedure, Constitutional Law, Contracts, Criminal Law, Property, Torts, R;Richard J. Conviser;Law
190230975;Inventing a Christian America: The Myth of the Religious Founding;Steven K. Green;History
192117491;Mungo Park the African Traveler;Kenneth Lupton;Travel
192141635;The Oxford Book of English Ghost Stories;Michael Cox;Literature & Fiction
192801805;Poststructuralism: A Very Short Introduction;Catherine Belsey;Politics & Social Sciences
192802518;Evolution: A Very Short Introduction;Brian Charlesworth;Science & Math
192804413;Modernism: A Very Short Introduction;Christopher Butler;Arts & Photography
192854143;Nietzsche: A Very Short Introduction;Michael Tanner;Biographies & Memoirs
192893203;Logic: A Very Short Introduction;Graham Priest;Politics & Social Sciences
194541266;How Languages are Learned 4e (Oxford Handbooks for Language Teachers);Patsy Lightbown;Politics & Social Sciences
195057554;A History of Stroke: Its Recognition and Treatment;William S. Fields;Health, Fitness & Dieting
195066650;Native American Architecture;Peter Nabokov;Arts & Photography
195071018;Eunuchs and Sacred Boundaries in Islamic Society (Studies in Middle Eastern History);Shaun Marmon;Religion & Spirituality
195099397;Links in the Chain: Shapers of the Jewish Tradition (Oxford Profiles);Naomi Pasachoff;Teen & Young Adult
195111303;At Home in the Universe: The Search for the Laws of Self-Organization and Complexity;Stuart Kauffman;Science & Math
195149106;Introduction to Optical Mineralogy;William D. Nesse;Science & Math
195171071;Guests of God: Pilgrimage and Politics in the Islamic World;Robert R. Bianchi;Religion & Spirituality
195188195;Mastering Your Adult ADHD: A Cognitive-Behavioral Treatment Program Client Workbook (Treatments That Work);Steven A. Safren;Parenting & Relationships
195188284;Psychological Injuries: Forensic Assessment, Treatment, and Law (American Psychology-Law Society Series);William J. Koch;Law
195307143;Polio: An American Story;David M. Oshinsky;Medical Books
195309057;Mind Race: A Firsthand Account of One Teenager's Experience with Bipolar Disorder (Adolescent Mental Health Initiative);Patrick E. Jamieson;Teen & Young Adult
195313038;What You Must Think of Me: A Firsthand Account of One Teenager's Experience with Social Anxiety Disorder (Adolescent Mental Health Initiative);Emily Ford;Biographies & Memoirs
195326970;Gay Marriage: for Better or for Worse?: What We've Learned from the Evidence;William N. Eskridge;Law
195327063;When a Gene Makes You Smell Like a Fish: ...and Other Amazing Tales about the Genes in Your Body;Lisa Seachrist Chiu;Humor & Entertainment
195339444;Inhuman Bondage: The Rise and Fall of Slavery in the New World;David Brion Davis;History
195371372;U.S. International Investment Agreements;Kenneth J Vandevelde;Law
195391349;Oxford Textbook of Palliative Nursing;Betty R. Ferrell and Nessa Coyle;Self-Help
195630858;The Origins and Development of Classical Hinduism (Oxford India Paperbacks);A. L. Basham;Religion & Spirituality
195648943;The Guru Granth Sahib: Canon, Meaning and Authority;Pashaura Singh;Religion & Spirituality
196360331;The Life of Muhammad;I. Ishaq;Biographies & Memoirs
198280424;Riches and Renunciation: Religion, Economy, and Society among the Jains (Oxford Studies in Social and Cultural Anthropology);James Laidlaw;Religion & Spirituality
198393342;Antony and Cleopatra: Oxford School Shakespeare (Oxford School Shakespeare Series);William Shakespeare;Literature & Fiction
198533713;Plots, Transformations, and Regression: An Introduction to Graphical Methods of Diagnostic Regression Analysis (Oxford Statistical Science Series);A. C. Atkinson;Science & Math
198539509;The Infinite in the Finite;Alistair Macintosh Wilson;Science & Math
198556314;Nonequilibrium Phenomena in Polyatomic Gases: Volume 1: Dilute Gases (International Series of Monographs on Chemistry);Frederick R. W. McCourt;Science & Math
198561954;Molecular Gas Dynamics and the Direct Simulation of Gas Flows (Oxford Engineering Science Series);G. A. Bird;Science & Math
198708955;God: A Very Short Introduction (Very Short Introductions);John Bowker;Religion & Spirituality
198718659;Once Upon a Time: A Short History of Fairy Tale;Marina Warner;Literature & Fiction
198754620;The Age of Em: Work, Love and Life when Robots Rule the Earth;Robin Hanson;Computers & Technology
199105332;The Holy Land (Ancient World);Peter Connolly;Children's Books
199226172;Maudsley & Burn's Land Law Cases and Materials;John J. Cartwright;Law
199246297;Inquiries into Truth and Interpretation (Philosophical Essays of Donald Davidson);Donald Davidson;Reference
199315728;A Small Greek World: Networks in the Ancient Mediterranean (Greeks Overseas);Irad Malkin;Literature & Fiction
199315981;The Battle of Midway (Pivotal Moments in American History);Craig L. Symonds;History
199327556;Politics and Society in Saudi Arabia: The Crucial Years of Development, 1960-1982;Sarah Yizraeli;History
199334412;Jonas Salk: A Life;Charlotte DeCroes Jacobs;Medical Books
199384452;Ancient Mediterranean Civilizations: From Prehistory to 640 CE;Ralph W. Mathisen;History
199391084;Pakistan: A New History;Ian Talbot;History
199540071;A Discourse on the Method (Oxford World's Classics);René Descartes;Politics & Social Sciences
199540438;The Bodhicaryavatara (Oxford World's Classics);Santideva;Religion & Spirituality
199543976;The Problem of Evil;Peter van Inwagen;Politics & Social Sciences
199585822;Oxford Handbook of Nutrition and Dietetics;Joan Gandy;Medical Books
199586551;Competition Law;Richard Whish;Law
199600600;The Book of Marvels and Travels (Oxford World's Classics);John Mandeville;Literature & Fiction
199645205;The Book of Common Prayer: The Texts of 1549, 1559, and 1662 (Oxford World's Classics);Brian Cummings;Christian Books & Bibles
199665095;Faull and Nikpay: The EU Law of Competition;Jonathan Faull;Law
199679096;Cases and Materials on Employment Law;Richard Painter;Law
199696802;Comparative Succession Law: Volume I: Testamentary Formalities;Kenneth G C Reid;Law
199744505;Why Does College Cost So Much?;Robert B. Archibald;Business & Money
199753504;The Rise of Mutual Funds: An Insider's View;Matthew P. Fink;Business & Money
199772665;Unified Protocol for Transdiagnostic Treatment of Emotional Disorders: Therapist Guide (Treatments That Work);David  H. Barlow;Health, Fitness & Dieting
199794138;What Everyone Needs to Know about Islam;John L. Esposito;Reference
199812098;Where the Conflict Really Lies: Science, Religion, and Naturalism;Alvin Plantinga;Politics & Social Sciences
199829527;Making the Social World: The Structure of Human Civilization;John Searle;Politics & Social Sciences
199927707;Osteoporosis (Oxford American Rheumatology Library);Ronald C. Hamdy;Health, Fitness & Dieting
199945136;The Language of Bribery Cases (Oxford Studies in Language and Law);Roger W. Shuy;Law
201524856;Multinational Business Finance;David K. Eiteman;Business & Money
201539306;Every Parent: A Positive Approach to Children's Behavior;Matthew R. Sanders;Parenting & Relationships
201702452;The Design and Implementation of the FreeBSD Operating System;Marshall Kirk McKusick;Computers & Technology
205029396;Mastering Public Speaking (8th Edition);George L. Grice;Reference
205054188;Medical Sociology (12th Edition);William C. Cockerham;Politics & Social Sciences
205453422;Learning American Sign Language DVD to accompany Learning American Sign Language - Levels 1 & 2 Beginning and Intermediate, 2nd Edition;Tom L. Humphries;Reference
205731937;Business Ethics (7th Edition);Richard T DeGeorge;Business & Money
205810462;Theories of Development: Concepts and Applications;William Crain;Medical Books
205873472;Art History (5th Edition);Marilyn Stokstad;Arts & Photography
205912966;Persuasion: Social Influence and Compliance Gaining;Robert H Gass;Politics & Social Sciences
205968171;Prebles' Artforms Books a la Carte Edition, Prebles' Artforms (11th Edition);Patrick L. Frank;Arts & Photography
205969062;African Americans: A Concise History, Combined Volume (5th Edition);Darlene Clark Hine;History
207189005;Cancerproof Your Body;Ross Horne;Health, Fitness & Dieting
224021230;We Didn't Mean To Go To Sea;Arthur Ransome;Teen & Young Adult
224025651;Life Blood New Image for Menstruation;Margaret Sheffield;Health, Fitness & Dieting
224091662;A Life Too Short: The Tragedy of Robert Enke;Ronald Reng;Biographies & Memoirs
226100456;The Calling of History: Sir Jadunath Sarkar and His Empire of Truth;Dipesh Chakrabarty;Biographies & Memoirs
226153096;Letters from Africa, 1914-1931;Isak Dinesen;Biographies & Memoirs
226308820;Euripides III: Heracles, The Trojan Women, Iphigenia among the Taurians, Ion (The Complete Greek Tragedies);Euripides;Literature & Fiction
226320669;The Fatal Conceit: The Errors of Socialism (The Collected Works of F. A. Hayek);F. A. Hayek;Business & Money
226321487;My Mother Was a Computer: Digital Subjects and Literary Texts;N. Katherine Hayles;Computers & Technology
226532291;Iconology: Image, Text, Ideology;W. J. T. Mitchell;Arts & Photography
226629767;Ramus, Method, and the Decay of Dialogue: From the Art of Discourse to the Art of Reason;Walter J. Ong  S.J.;Politics & Social Sciences
226780171;Valuing Life: Humanizing the Regulatory State;Cass R. Sunstein;Law
226870332;General Relativity;Robert M. Wald;Science & Math
230201539;The Historical Turn in Analytic Philosophy (History of Analytic Philosophy);Erich H. Reck;Politics & Social Sciences
230340296;Freedom of Contract and Paternalism: Prospects and Limits of an Economic Approach (Perspectives from Social Economics);Péter Cserne;Parenting & Relationships
230580939;Twins in Society: Parents, Bodies, Space and Talk (Studies in Childhood and Youth);Kate Bacon;Parenting & Relationships
230618928;The Legacy Family: The Definitive Guide to Creating a Successful Multigenerational Family;Lee Hausner;Parenting & Relationships
231062974;A History of Housing in New York City;Richard Plunz;Politics & Social Sciences
231068573;Mercedes in Peace and War: German Automobile Workers, 1903-1945;Bernard P. Bellon;Business & Money
231110030;Community Practice Skills: Local to Global Perspectives;Dorothy N Gamble;Business & Money
231119968;The Algerian Civil War;Luis Martinez;History
231135157;Soldier Dead: How We Recover, Identify, Bury, and Honor Our Military Fallen;Michael Sledge;History
231151764;Supervision in Social Work;Alfred Kadushin;Politics & Social Sciences
231152760;Gay Directors, Gay Films?: Pedro Almodóvar, Terence Davies, Todd Haynes, Gus Van Sant, John Waters;Emanuel Levy;Humor & Entertainment
231153007;A Philosophical Retrospective: Facts, Values, and Jewish Identity (Columbia Themes in Philosophy);Alan Montefiore;Politics & Social Sciences
231153546;They Wished They Were Honest: The Knapp Commission and New York City Police Corruption;Michael F. Armstrong;Law
231157096;Sibling Relationships in Childhood and Adolescence: Predictors and Outcomes;Avidan Milevsky;Parenting & Relationships
231161050;If A, Then B: How the World Discovered Logic;Michael Shenefelt;Politics & Social Sciences
231171404;Green Capital: A New Perspective on Growth;Christian de Perthuis;Business & Money
240515595;Basics of Video Lighting;Des Lyver;Arts & Photography
240800621;Sportscasting (Electronic Media Management);John Hitchcock;Sports & Outdoors
240800761;Stereo Microphone Techniques;Bruce Bartlett;Crafts, Hobbies & Home
240814150;Creating Motion Graphics with After Effects: Essential and Advanced Techniques, 5th Edition, Version CS5;Chris Meyer;Computers & Technology
240815807;Mixing Secrets for  the Small Studio;Mike Senior;Engineering & Transportation
240817893;Ableton Live 9: Create, Produce, Perform;Keith Robinson;Computers & Technology
240820428;Getting Started in 3D with Maya: Create a Project from Start to Finish - Model, Texture, Rig, Animate, and Render in Maya;Adam Watkins;Computers & Technology
252063007;From Humors to Medical Science: A HISTORY OF AMERICAN MEDICINE;John Duffy;Humor & Entertainment
252078373;The War of 1812: A Forgotten Conflict, Bicentennial Edition;Donald R Hickey;History
253008654;Prelude to Blitzkrieg: The 1916 Austro-German Campaign in Romania (Twentieth-Century Battles);Michael B. Barrett;History
253018870;Syria's Democratic Years: Citizens, Experts, and Media in the 1950s (Public Cultures of the Middle East and North Africa);Kevin W. Martin;History
253217385;Moonlight in Duneland: The Illustrated Story of the Chicago South Shore and South Bend Railroad (Quarry Books);Ronald D. Cohen;Arts & Photography
253348609;Slavery and the Meetinghouse: The Quakers and the Abolitionist Dilemma, 1820-1865;Ryan P. Jordan;Christian Books & Bibles
262026775;Distributed Algorithms: An Intuitive Approach;Wan Fokkink;Computers & Technology
262511096;Zen and the Brain: Toward an Understanding of Meditation and Consciousness;James H. Austin;Religion & Spirituality
262518511;Programmed Visions: Software and Memory (Software Studies);Wendy Hui Kyong Chun;Computers & Technology
262518651;Critical Play: Radical Game Design;Mary Flanagan;Computers & Technology
262525844;Evolution in Four Dimensions: Genetic, Epigenetic, Behavioral, and Symbolic Variation in the History of                 Life (Life and Mind: Philosophical Issues in Biology and Psychology);Eva Jablonka;Science & Math
262527804;The Technological Singularity (The MIT Press Essential Knowledge series);Murray Shanahan;Computers & Technology
262540428;Elbow Room: The Varieties of Free Will Worth Wanting;Daniel C. Dennett;Politics & Social Sciences
262571234;MPI: The Complete Reference (Vol. 2), Vol. 2 - The MPI-2 Extensions;William Gropp;Computers & Technology
268017409;The Spirit of Mediaeval Philosophy;Etienne Gilson;Politics & Social Sciences
268022275;The Anticipatory Corpse: Medicine, Power, and the Care of the Dying (ND Studies in Medical Ethics);Jeffrey P. Bishop;Self-Help
275947955;Eisenhower Versus Montgomery: The Continuing Debate;G E P Murray;Biographies & Memoirs
285634119;Warning: When I Am an Old Woman I Shall Wear Purple;Jenny Joseph;Christian Books & Bibles
292701640;Birds of Belize (Corrie Herring Hooks Series);H. Lee Jones;Science & Math
292740425;The Story of Big Bend National Park;John Jameson;Travel
292740654;Gender and Power in Prehispanic Mesoamerica;Rosemary A. Joyce;History
292741634;Medicine in Mexico: From Aztec Herbs to Betatrons (Texas Pan American);Gordon Schendel;History
292762976;Modern Architecture in Latin America: Art, Technology, and Utopia (Joe R. and Teresa Lozano Long Series in Latin American and L);Luis E. Carranza;History
295978031;Cosmopolitan Capitalists: Hong Kong and the Chinese Diaspora at the End of the Twentieth Century;Gary G. Hamilton;History
299151646;The Healthiest City: Milwaukee and the Politics of Health Reform;Judith W. Leavitt;Travel
299153843;Low Protein Cookery for Phenylketonuria;Virginia E. Schuett;Health, Fitness & Dieting
299292347;With the Lapps in the High Mountains: A Woman among the Sami, 1907�E��E1908;Emilie Demant Hatt;Biographies & Memoirs
300095244;How Democratic is the American Constitution? Second Edition;Robert A. Dahl;Law
300105967;Jonathan Edwards: A Life;George M. Marsden;History
300110960;Representing Justice: Invention, Controversy, and Rights in City-States and Democratic Courtrooms (Yale Law Library Series in Legal History and Reference);Judith Resnik;Law
300122306;Galápagos: The Islands That Changed the World;Paul D. Stewart;History
300158343;The Public Domain: Enclosing the Commons of the Mind;James Boyle;Law
300171307;Why Translation Matters (Why X Matters Series);Edith Grossman;Reference
300172338;Nothing to Hide: The False Tradeoff between Privacy and Security;Daniel J. Solove;Computers & Technology
300178905;The Clerics of Islam: Religious Authority and Political Power in Saudi Arabia;Nabil Mouline;History
300179499;The Metropolitan Museum of Art Guide;Thomas P. Campbell;Reference
300186835;The South China Sea: The Struggle for Power in Asia;Bill Hayton;Law
300190441;Speer: Hitler's Architect;Martin Kitchen;History
300196598;Worlds Apart: Poverty and Politics in Rural America, Second Edition;Cynthia M. Duncan;Politics & Social Sciences
300200676;Eternity's Sunrise: The Imaginative World of William Blake;Leo Damrosch;Literature & Fiction
300209843;The People's Galleries: Art Museums and Exhibitions in Britain, 1800�E��E1914;Giles Waterfield;Business & Money
300211104;Sultans of Deccan India, 1500�E��E1700: Opulence and Fantasy;Navina Najat Haidar;Arts & Photography
306434601;Mathematical Methods in Kinetic Theory;C. Cercignani;Science & Math
306811960;Lost Over Laos: A True Story of Tragedy, Mystery, and Friendship;Richard Pyle;Arts & Photography
306813491;Bill Graham Presents: My Life Inside Rock And Out;Bill Graham;Arts & Photography
306814323;Stargazer: The Life and Times of the Telescope;Fred Watson;Science & Math
306817527;Comfortably Numb: The Inside Story of Pink Floyd;Mark Blake;Biographies & Memoirs
306818108;Top of the World: The Inside Story of the Boston Celtics�E��E Amazing One-Year Turnaround to Become NBA Champions;Peter May;Sports & Outdoors
306821222;Seven Deadly Sins: Settling the Argument Between Born Bad and Damaged Good;Corey Taylor;Biographies & Memoirs
306822326;A Christmas Far from Home: An Epic Tale of Courage and Survival during the Korean War;Stanley Weintraub;History
307244989;Fishes: A guide to fresh and salt-water species;Herbert Spencer Zim;Sports & Outdoors
307264467;Knopf MapGuide: Budapest (Knopf Mapguides);Knopf Guides;Travel
307269752;The Girl with the Dragon Tattoo (Millennium Series);Stieg Larsson;Mystery, Thriller & Suspense
307275841;Snuff;Chuck Palahniuk;Romance
307277887;Darkly Dreaming Dexter;Jeff Lindsay;Mystery, Thriller & Suspense
307278247;1493: Uncovering the New World Columbus Created;Charles C. Mann;History
307279081;The Killer of Little Shepherds: A True Crime Story and the Birth of Forensic Science;Douglas Starr;Law
307341658;Sacred Choices: Thinking Outside the Tribe to Heal Your Spirit;Christel Nani;Self-Help
307389189;Paprika (Vintage Contemporaries);Yasutaka Tsutsui;Literature & Fiction
307394913;The Book of General Ignorance;John Mitchinson;Humor & Entertainment
307395812;Real Cajun: Rustic Home Cooking from Donald Link's Louisiana;Donald Link;Cookbooks, Food & Wine
307407314;The New Terrarium: Creating Beautiful Displays for Plants and Nature;Tovah Martin;Crafts, Hobbies & Home
307440850;The 7 Habits of Highly Effective Families;Stephen R. Covey;Parenting & Relationships
307473546;Hurry Down Sunshine: A Father's Story of Love and Madness;Michael Greenberg;Health, Fitness & Dieting
307479390;Second Grade Spelling Flashcards (Flashcards Language Arts);Sylvan Learning;Reference
307479420;Fifth Grade Vocabulary Flashcards (Flashcards Language Arts);Sylvan Learning;Reference
307592243;My Lucky Life In and Out of Show Business: A Memoir;Dick Van Dyke;Humor & Entertainment
307635341;Insect Pests;Zim and Fichter;Sports & Outdoors
307716031;Born Wild: The Extraordinary Story of One Man's Passion for Africa;Tony Fitzjohn;Travel
307718247;The Worry Solution: Using Breakthrough Brain Science to Turn Stress and Anxiety into Confidence and Happiness;Martin Rossman M.D.;Self-Help
307742172;The Last Werewolf;Glen Duncan;Literature & Fiction
307896900;New Super Mario Bros. U: Prima Official Game Guide;Stephen Stratton;Computers & Technology
307949052;Transformations: 2013 Coelho Calendar (Spanish Edition);Paulo Coelho;Calendars
307949095;Amar o depender (Spanish Edition);Walter Riso;Self-Help
307949362;For Discrimination: Race, Affirmative Action, and the Law;Randall Kennedy;Law
307957721;Hat Box: The Collected Lyrics of Stephen Sondheim;Stephen Sondheim;Humor & Entertainment
307976084;The Silent Boy (Random House Reader's Circle);Lois Lowry;Teen & Young Adult
310219043;What's So Amazing About Grace? Study Guide;Phillip Yancey;Christian Books & Bibles
310240069;Most Important Year in a Woman's Life, The/The Most Important Year in a Man's Life;Robert Wolgemuth;Christian Books & Bibles
310240646;The Unholy Deception: The Nephilim Return (Nephilim Series Vol. 2);L. A. Marzulli;Religion & Spirituality
310243149;Boundaries in Marriage;Henry Cloud;Parenting & Relationships
310267145;How to Have That Difficult Conversation You've Been Avoiding: With Your Spouse, Adult Child, Boss, Coworker, Best Friend, Parent, or Someone You're Dating;Henry Cloud;Parenting & Relationships
310270227;Basics of Biblical Hebrew: Workbook, 2nd Edition;Gary D. Pratico;Christian Books & Bibles
310275091;Charts of Biblical Hebrew (ZondervanCharts);Miles V. Van Pelt;Christian Books & Bibles
310295610;Who Moved the Stone?;Frank Morison;Christian Books & Bibles
310326273;David Wilkerson: The Cross, the Switchblade, and the Man Who Believed;Gary Wilkerson;Biographies & Memoirs
310329892;Sex and the Soul of a Woman: How God Restores the Beauty of Relationship from the Pain of Regret;Paula Rinehart;Religion & Spirituality
310331129;Unveiling Grace: The Story of How We Found Our Way out of the Mormon Church;Lynn K. Wilder;Christian Books & Bibles
310332362;Twisted Innocence (Moonlighters Series);Terri Blackstock;Mystery, Thriller & Suspense
310338875;Teen Mom: You're Stronger Than You Think;Tricia Goyer;Parenting & Relationships
310340780;Wrestling for My Life: The Legend, the Reality, and the Faith of a WWE Superstar;Shawn Michaels;Biographies & Memoirs
310575516;Help! I'm a Volunteer Youth Worker;Doug Fields;Religion & Spirituality
310739055;Game Changer;Kirk Cousins;Biographies & Memoirs
310868254;The Meaning of Marriage Study Guide: A Vision for Married and Single People;Timothy Keller;Christian Books & Bibles
312089457;Sherlock Holmes: The Major Stories with Contemporary Critical Essays (Bedford Series in History & Culture);Arthur Conan Doyle;Mystery, Thriller & Suspense
312114826;All You Need Is Ears: The inside personal story of the genius who created The Beatles;George Martin;Humor & Entertainment
312151225;The Everyday I Ching;Sarah Dening;Religion & Spirituality
312180810;Des, the Complete Story;Cynthia Orenberg;Medical Books
312187769;Wing Chun Kung Fu: Traditional Chinese Kung Fu for Self-Defense and Health;Ip Chun;Sports & Outdoors
312206372;The Climb: Tragic Ambitions on Everest;Anatoli Boukreev;Biographies & Memoirs
312262922;The Bell Witch: An American Haunting;Brent Monahan;Mystery, Thriller & Suspense
312321201;P.S. Your Cat Is Dead;James Kirkwood;Humor & Entertainment
312325002;Encyclopedia Neurotica;Jon Winokur;Reference
312359799;Real Men Do It Better;Lora Leigh;Romance
312361815;Five Families: The Rise, Decline, and Resurgence of America's Most Powerful Mafia Empires;Selwyn Raab;Biographies & Memoirs
312374631;And the Band Played On: Politics, People, and the AIDS Epidemic, 20th-Anniversary Edition;Randy Shilts;Health, Fitness & Dieting
312382154;Babylon's Ark: The Incredible Wartime Rescue of the Baghdad Zoo;Lawrence Anthony;Science & Math
312384696;The Gods of Greenwich;Norb Vonnegut;Mystery, Thriller & Suspense
312420137;Illness as Metaphor and AIDS and Its Metaphors;Susan Sontag;Health, Fitness & Dieting
312426704;Gate of the Sun;Elias Khoury;Literature & Fiction
312427565;The Right Stuff;Tom Wolfe;Engineering & Transportation
312427905;The World Without Us;Alan Weisman;Science & Math
312429983;Wolf Hall;Hilary Mantel;Literature & Fiction
312480504;Interpretations of American History, Volume 2: From Reconstruction: Patterns & Perspectives;Francis G. Couvares;History
312492510;Wipe Clean: Letters (Wipe Clean Learning Books);Roger Priddy;Children's Books
312556411;Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama;Ann Charters;Literature & Fiction
312560958;Travels in the Greater Yellowstone;Jack Turner;Travel
312567073;Carrion Comfort;Dan Simmons;Mystery, Thriller & Suspense
312590342;The New York Times Will Shortz's Wittiest, Wackiest Crosswords: 225 Puzzles from the Will Shortz Crossword Collection;The New York Times;Humor & Entertainment
312608950;Rules for My Unborn Son;Walker Lamond;Parenting & Relationships
312617933;The Hunger Games Companion: The Unauthorized Guide to the Series;Lois H. Gresh;Teen & Young Adult
312676840;Patterns for College Writing: A Rhetorical Reader and Guide, 12th Edition;Laurie G. Kirszner;Reference
312925883;Not Without My Daughter;Betty Mahmoody;Politics & Social Sciences
312939000;B is for Burglar (Kinsey Millhone Alphabet Mysteries, No. 2);Sue Grafton;Mystery, Thriller & Suspense
312942311;Born of Fire (The League, Book 2);Sherrilyn Kenyon;Romance
312976275;Hot Six (Stephanie Plum, No. 6) (Stephanie Plum Novels);Janet Evanovich;Romance
312980140;Seven Up (Stephanie Plum, No. 7) (Stephanie Plum Novels);Janet Evanovich;Romance
313232199;The Troubled Partnership: A Re-Appraisal of the Atlantic Alliance;Henry A. Kissinger;Politics & Social Sciences
313335427;Organ Transplantation (Health and Medical Issues Today);David Petechuk;Health, Fitness & Dieting
313361754;J.R.R. Tolkien: A Biography (Greenwood Biographies);Leslie Ellen Jones;Science Fiction & Fantasy
314147284;Negotiation and Settlement Advocacy: A Book of Readings (American Casebook Series);Charles Wiggins;Law
314152210;Gilbert Law Summaries on Evidence;Jon Waltz;Law
314187979;The Law of Securities Regulation (Hornbook);Thomas Hazen;Law
314194223;Remedies: Cases, Practical Problems and Exercises, 2d (American Casebook) (American Casebook Series);Russell Weaver;Law
314277994;Understanding Developments in Cyberspace Law: Leading Lawyers on Examining Privacy Issues, Addressing Security Concerns, and Responding to Recent IT Trends (Inside the Minds);Multiple Authors;Law
316004855;The New Yankee Workshop Outdoor Projects;Norm Abram;Crafts, Hobbies & Home
316008249;The Horse Boy: A Memoir of Healing;Rupert Isaacson;Biographies & Memoirs
316011185;The Olympics: Legendary Sports Events (Matt Christopher Legendary Sports Events);Matt Christopher;Children's Books
316040932;On Killing: The Psychological Cost of Learning to Kill in War and Society;Dave Grossman;Engineering & Transportation
316043923;The Hundred Thousand Kingdoms (The Inheritance Trilogy);N. K. Jemisin;Romance
316070351;Inglourious Basterds: A Screenplay;Quentin Tarantino;Humor & Entertainment
316072982;Bamboo Blade, Vol. 5;Masahiro Totsuka;Comics & Graphic Novels
316080209;Ghost Liners: Exploring the World's Greatest Lost Ships;Robert Ballard;Children's Books
316080683;The Dragon's Path (The Dagger and the Coin);Daniel Abraham;Science Fiction & Fantasy
316098329;Room: A Novel;Emma Donoghue;Mystery, Thriller & Suspense
316119849;Witch & Wizard: The Manga, Vol. 3;James Patterson;Comics & Graphic Novels
316142239;On the Halfpipe with Tony Hawk;Matt Christopher;Children's Books
316159352;Skeletons on the Zahara: A True Story of Survival;Dean King;Engineering & Transportation
316184144;The Complete Poems of Emily Dickinson;Emily Dickinson;Literature & Fiction
316185434;The Age of Acquiescence: The Life and Death of American Resistance to Organized Wealth and Power;Steve Fraser;Business & Money
316187623;K-ON!, Vol. 3;kakifly;Teen & Young Adult
316190101;Etiquette & Espionage (Finishing School);Gail Carriger;Teen & Young Adult
316216429;Put Out More Flags;Evelyn Waugh;Literature & Fiction
316216860;The Shining Girls: A Novel;Lauren Beukes;Mystery, Thriller & Suspense
316217174;Twilight: The Graphic Novel Collector's Edition (The Twilight Saga);Stephenie Meyer;Comics & Graphic Novels
316217182;New Moon: The Graphic Novel, Vol. 1 (The Twilight Saga);Stephenie Meyer;Comics & Graphic Novels
316219126;The Autumn Republic (The Powder Mage Trilogy);Brian McClellan;Science Fiction & Fantasy
316219282;The Everything Store: Jeff Bezos and the Age of Amazon;Brad Stone;Literature & Fiction
316221031;Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America;Annie Jacobsen;History
316222461;The Twilight Saga: The Complete Film Archive: Memories, Mementos, and Other Treasures from the Creative Team Behind the Beloved Motion Pictures;Robert Abele;Teen & Young Adult
316230847;We Need New Names: A Novel;NoViolet Bulawayo;Literature & Fiction
316234842;Mast Brothers Chocolate: A Family Cookbook;Rick Mast;Cookbooks, Food & Wine
316249084;Monster High: The Scary Cute Collection;Lisi Harrison;Teen & Young Adult
316259535;The Killing Kind;Chris Holm;Mystery, Thriller & Suspense
316268089;Leading: Learning from Life and My Years at Manchester United;Alex Ferguson;Business & Money
316332976;Careless Love: The Unmaking of Elvis Presley;Peter Guralnick;Biographies & Memoirs
316340022;Akame ga KILL!, Vol. 2;Takahiro;Comics & Graphic Novels
316340057;Akame ga KILL!, Vol. 4;Takahiro;Comics & Graphic Novels
316341029;A Drinking Life: A Memoir;Pete Hamill;Biographies & Memoirs
316341517;Mythology;Edith Hamilton;Literature & Fiction
316404152;The Remaining;D.J. Molles;Mystery, Thriller & Suspense
